"TOA5","LTUX","CR1000","75756","CR1000.Std.31","CPU:LTUX.cr1","4590","hora"
"TIMESTAMP","RECORD","Temp_Avg","Temp_Max","Temp_Min","RH_Avg","RH_Max","RH_Min","WSpeed_Avg","WDir_Avg","WDir_SD","WSpeed_Max","WSpeed_Min","Rain_Tot","Press_Avg","Rad_Avg","Rad_Max","Rad_Min","Visibility_Avg"
"TS","RN","°C","°C","°C","%","%","%","m/s","Deg","Deg","m/s","m/s","mm","hPa","W/m^2","W/m^2","W/m^2","m"
"","","Avg","Max","Min","Avg","Max","Min","WVc","WVc","WVc","Max","Min","Tot","Avg","Avg","Max","Min","Avg"
"1972-07-12 16:43:37.605507488",0,21.24,21.64,20.69,87.3,91.9,82.4,0.822,87.6,80.1,2.42,0.05,0,1000.671,62.84,133.5,-30.78,0
"1972-07-12 17:43:37.605507488",1,20.59,20.83,20.17,93.6,94.9,91.3,0.492,102.4,90.3,1.37,0.01,0,1000.661,231.3,343.2,102.8,0
"1972-07-12 18:43:37.605507488",2,20.01,20.32,19.7,95.6,96.5,94.2,0.505,134.2,49.72,2.16,0,0,1000.945,465.9,681.7,330.5,0
"1972-07-12 19:43:37.605507488",3,19.56,19.94,19.09,97,97.5,96.4,0.73,229,30.22,1.61,0.03,0,1001.361,837,991,679.8,0
"1972-07-12 20:43:37.605507488",4,19.15,19.28,18.99,96.9,97.2,96.6,0.866,230.1,15.96,1.49,0.27,0,1001.891,1109,1223,985,0
"1972-07-12 21:43:37.605507488",5,19.23,19.37,18.99,96.6,97.3,96.1,0.708,193.5,35.55,1.77,0.01,0,1002.406,1291,1373,1204,0
"1972-07-12 22:43:37.605507488",6,19.3,19.47,19.04,96.7,97.1,96.4,0.8,219.3,26.51,2.14,0.13,0,1002.701,1413,1482,1317,0
"1972-07-12 23:43:37.605507488",7,0,-4171,4.14,-13.32,0,0,61.47,0,19,19.28,18.71,97.2,2.267498E-017,0.765,210.9,24.57,7.035674E+022
"1972-07-13 00:43:37.605507488",8,0,11.46,-76.2,1549,1693,1425,0,0,19.05,19.28,18.8,97.5,2.27834E-017,0.703,181.8,30.35,6.006325E+023
